學號,姓名,性別,入學年,年級,學期,班級,座號,電話,Email,狀態,狀態備註,法律狀態,家長姓名,家長電話
112007,培根,男,110,12,2,1202,1,0912346177,s112007@school.edu.tw,Active,,,培根父,0987654827
112008,笛卡,男,110,12,2,1202,2,0912346178,s112008@school.edu.tw,Active,,,笛卡父,0987654828
112009,休謨,男,110,12,2,1202,3,0912346179,s112009@school.edu.tw,Active,,,休謨父,0987654829
112010,康德,女,110,12,2,1202,4,0912346180,s112010@school.edu.tw,Active,,,康德母,0987654830
112011,黑格,女,110,12,2,1202,5,0912346181,s112011@school.edu.tw,Active,,,黑格母,0987654831
112012,尼采,女,110,12,2,1202,6,0912346182,s112012@school.edu.tw,Active,,,尼采母,0987654832
112013,薩特,男,110,12,2,1203,1,0912346183,s112013@school.edu.tw,Active,,,薩特父,0987654833
112014,卡繆,男,110,12,2,1203,2,0912346184,s112014@school.edu.tw,Active,,,卡繆父,0987654834
112015,傅柯,男,110,12,2,1203,3,0912346185,s112015@school.edu.tw,Active,,,傅柯父,0987654835
112016,西蒙,女,110,12,2,1203,4,0912346186,s112016@school.edu.tw,Active,,,西蒙母,0987654836
112017,漢娜,女,110,12,2,1203,5,0912346187,s112017@school.edu.tw,Active,,,漢娜母,0987654837
112018,茱莉,女,110,12,2,1203,6,0912346188,s112018@school.edu.tw,Active,,,茱莉母,0987654838
